Market_Size,Growth_Rate,Product_Type,Price_Range,Geography,Age_Group,Gender,Income_Level,Location,Preferred_Product_Type,Purchase_Channel,Purchase_Frequency,Trending_Ingredients,Key_Players,Avg_Rating,Social_Media_Sentiment,Region,Market_Forecast,Opportunities
845000000,9.79511133158732,Haircare,Budget,Global,55+,Male,Low,Suburban,Conditioners,E-commerce Platform,3,Coconut Oil,Brand A,4.3,-0.65,South America,977000000,New Product Lines
535000000,9.49073205775209,Makeup,Premium,Country-Specific,35-44,Non-binary,Low,Urban,Face Creams,Online,4,Coconut Oil,Brand C,3,0.97,Europe,1917000000,Expansion in Asia
204000000,14.5646160271647,Haircare,Premium,Country-Specific,55+,Prefer not to say,Low,Rural,Hair Oils,E-commerce Platform,5,Aloe Vera,Brand D,1.1,0.96,Europe,518000000,New Product Lines
382000000,7.81849538244643,Haircare,Budget,Global,55+,Non-binary,Middle,Suburban,Shampoos,Offline,9,Coconut Oil,Brand C,4,0.17,North America,1629000000,Expansion in Asia
928000000,8.05265039703978,Skincare,Premium,Global,45-54,Prefer not to say,High,Urban,Soaps,Physical Stores,6,Aloe Vera,Brand D,1.2,0.98,South America,1904000000,Expansion in Asia
198000000,15.7286460199158,Haircare,Premium,Global,25-34,Female,Low,Suburban,Face Creams,E-commerce Platform,7,Coconut Oil,Brand D,4.6,0.61,Europe,1519000000,New Product Lines
411000000,18.9999063198195,Skincare,Mid-range,Country-Specific,45-54,Female,Low,Rural,Soaps,Offline,9,Rose Water,Brand D,4.4,0.87,North America,561000000,Expansion in Asia
673000000,14.5908170867539,Makeup,Mid-range,Global,18-24,Prefer not to say,Low,Rural,Conditioners,E-commerce Platform,5,Aloe Vera,Brand B,1.4,-0.63,North America,1116000000,Expansion in Asia
103000000,12.3974346635537,Makeup,Budget,Country-Specific,25-34,Female,Low,Suburban,Hair Oils,Offline,11,Turmeric,Brand B,3.8,0.56,Europe,1711000000,Expansion in Asia
835000000,8.2361175618298,Skincare,Budget,Global,25-34,Female,High,Urban,Conditioners,Physical Stores,3,Rose Water,Brand C,3.4,0.76,Africa,560000000,Sustainability Focus
979000000,19.1792136912087,Haircare,Mid-range,Global,18-24,Male,Middle,Suburban,Shampoos,Online,11,Neem,Brand A,1.8,0.64,Africa,1502000000,Sustainability Focus
649000000,9.97139905434396,Makeup,Budget,Country-Specific,35-44,Male,High,Suburban,Conditioners,Offline,8,Aloe Vera,Brand B,4.2,-0.92,Asia,721000000,Sustainability Focus
289000000,15.0923613138755,Skincare,Mid-range,Country-Specific,45-54,Non-binary,Middle,Urban,Soaps,Online,8,Turmeric,Brand C,4.3,0.77,Asia,849000000,Expansion in Asia
822000000,10.3552071718758,Haircare,Premium,Country-Specific,25-34,Prefer not to say,High,Rural,Face Creams,Online,11,Turmeric,Brand A,3.2,0.65,Europe,1217000000,Sustainability Focus
609000000,10.167691239712,Haircare,Mid-range,Global,25-34,Male,Low,Rural,Soaps,Physical Stores,7,Aloe Vera,Brand A,1.1,-0.69,Africa,1091000000,Sustainability Focus
945000000,13.4961325160256,Makeup,Premium,Regional,45-54,Male,Low,Urban,Face Creams,Online,1,Aloe Vera,Brand B,3,-0.55,South America,1654000000,Expansion in Asia
124000000,5.67213126155186,Makeup,Mid-range,Regional,25-34,Prefer not to say,High,Suburban,Hair Oils,E-commerce Platform,4,Rose Water,Brand A,1.7,0.16,Asia,1261000000,Sustainability Focus
701000000,15.8782141977447,Makeup,Premium,Country-Specific,25-34,Prefer not to say,High,Suburban,Soaps,Physical Stores,9,Coconut Oil,Brand D,3,-0.76,Africa,717000000,Expansion in Asia
288000000,7.47130313709771,Skincare,Budget,Global,25-34,Female,High,Suburban,Face Creams,E-commerce Platform,6,Turmeric,Brand B,1.2,-0.2,Asia,1665000000,Expansion in Asia
383000000,10.6680183093304,Haircare,Mid-range,Regional,25-34,Female,Low,Suburban,Hair Oils,Online,10,Coconut Oil,Brand C,3,-0.74,Asia,1420000000,New Product Lines
510000000,11.1436866341182,Haircare,Budget,Country-Specific,25-34,Non-binary,Middle,Suburban,Conditioners,Online,2,Turmeric,Brand B,4.7,-0.9,North America,1674000000,Expansion in Asia
206000000,7.83070972907973,Makeup,Mid-range,Global,45-54,Non-binary,Middle,Rural,Conditioners,Offline,6,Aloe Vera,Brand A,3.8,-0.42,Africa,1648000000,Expansion in Asia
925000000,10.2923492079627,Makeup,Premium,Regional,35-44,Male,Middle,Urban,Conditioners,Online,8,Aloe Vera,Brand A,2.9,-0.47,Europe,998000000,New Product Lines
876000000,12.4960981230611,Skincare,Premium,Regional,45-54,Male,Middle,Rural,Conditioners,Physical Stores,4,Coconut Oil,Brand A,3.1,0.56,South America,1955000000,Expansion in Asia
926000000,16.8174450675288,Makeup,Budget,Global,45-54,Prefer not to say,Middle,Rural,Conditioners,E-commerce Platform,9,Neem,Brand C,3.9,-0.86,North America,1009000000,Sustainability Focus
103000000,8.33817114298197,Makeup,Mid-range,Global,55+,Prefer not to say,Low,Urban,Soaps,Physical Stores,2,Rose Water,Brand B,3.2,-0.19,North America,871000000,Expansion in Asia
691000000,7.27595906153506,Haircare,Budget,Regional,35-44,Female,Middle,Rural,Face Creams,Offline,11,Turmeric,Brand A,2.2,0.87,South America,659000000,New Product Lines
570000000,19.6249231354791,Haircare,Mid-range,Regional,25-34,Non-binary,High,Rural,Conditioners,Online,10,Neem,Brand B,2.3,0.74,Africa,822000000,Expansion in Asia
727000000,6.50443655977052,Makeup,Premium,Regional,25-34,Prefer not to say,Middle,Urban,Face Creams,Offline,11,Rose Water,Brand C,2.6,-0.12,North America,1801000000,Sustainability Focus
300000000,5.30205618295309,Makeup,Budget,Global,35-44,Non-binary,High,Urban,Shampoos,Online,1,Coconut Oil,Brand C,1,0.68,Europe,615000000,New Product Lines
199000000,9.17642791813645,Skincare,Mid-range,Global,35-44,Female,Low,Suburban,Face Creams,E-commerce Platform,8,Rose Water,Brand D,4.5,-0.15,South America,743000000,New Product Lines
959000000,5.78595343091732,Haircare,Mid-range,Global,55+,Female,Low,Urban,Conditioners,E-commerce Platform,9,Coconut Oil,Brand B,4.5,0.32,Asia,1494000000,Sustainability Focus
